Item,a,b,c
C300,0.746,0.539,0.17
C301,0.738,0.553,0.17
C302,0.738,0.553,0.17
C303,0.737,0.554,0.17
C304,0.737,0.569,0.17
C305,0.735,0.57,0.17
C306,0.733,0.576,0.17
C307,0.732,0.572,0.17
C308,0.728,0.594,0.17
C309,0.726,0.595,0.17
C310,0.722,0.608,0.17
C311,0.722,0.617,0.17
C312,0.72,0.612,0.17
C313,0.715,0.629,0.17
C314,0.715,0.646,0.17
C315,0.714,0.646,0.17
C316,0.714,0.648,0.17
C317,0.713,0.649,0.17
C318,0.709,0.654,0.17
C319,0.705,0.657,0.17
C320,0.702,0.653,0.17
C321,0.702,0.663,0.17
C322,0.695,0.667,0.17
C323,0.692,0.665,0.17
C324,0.692,0.661,0.17
C325,0.691,0.671,0.17
C326,0.688,0.677,0.17
C327,0.686,0.685,0.17
C328,0.685,0.69,0.17
C329,0.682,0.696,0.17
C330,0.68,0.71,0.17
C331,0.679,0.711,0.17
C332,0.679,0.716,0.17
C333,0.679,0.728,0.17
C334,0.678,0.737,0.17
C335,0.674,0.735,0.17
C336,0.667,0.742,0.17
C337,0.667,0.749,0.17
C338,0.663,0.744,0.17
C339,0.663,0.743,0.17
C340,0.658,0.741,0.17
C341,0.656,0.764,0.17
C342,0.655,0.774,0.17
C343,0.654,0.778,0.17
C344,0.654,0.772,0.17
C345,0.654,0.775,0.17
C346,0.654,0.777,0.17
C347,0.654,0.782,0.17
C348,0.65,0.793,0.17
C349,0.647,0.798,0.17
C350,0.647,0.797,0.17
C351,0.645,0.809,0.17
C352,0.642,0.815,0.17
C353,0.641,0.817,0.17
C354,0.639,0.827,0.17
C355,0.638,0.837,0.17
C356,0.637,0.84,0.17
C357,0.636,0.835,0.17
C358,0.635,0.838,0.17
C359,0.633,0.839,0.17
C360,0.633,0.845,0.17
C361,0.629,0.854,0.17
C362,0.627,0.869,0.17
C363,0.625,0.873,0.17
C364,0.625,0.878,0.17
C365,0.624,0.889,0.17
C366,0.623,0.896,0.17
C367,0.618,0.901,0.17
C368,0.617,0.909,0.17
C369,0.616,0.911,0.17
C370,0.615,0.919,0.17
C371,0.613,0.937,0.17
C372,0.603,0.932,0.17
C373,0.603,0.948,0.17
C374,0.603,0.947,0.17
C375,0.602,0.962,0.17
C376,0.601,0.978,0.17
C377,0.598,0.983,0.17
C378,0.597,0.988,0.17
C379,0.595,0.996,0.17
C380,0.593,0.997,0.17
C381,0.592,1.001,0.17
C382,0.59,1.003,0.17
C383,0.587,1.019,0.17
C384,0.587,1.027,0.17
C385,0.586,1.025,0.17
C386,0.585,1.025,0.17
C387,0.581,1.021,0.17
C388,0.577,1.04,0.17
C389,0.575,1.033,0.17
C390,0.575,1.05,0.17
C391,0.573,1.054,0.17
C392,0.572,1.08,0.17
C393,0.571,1.082,0.17
C394,0.569,1.083,0.17
C395,0.569,1.105,0.17
C396,0.565,1.106,0.17
C397,0.564,1.129,0.17
C398,0.562,1.13,0.17
C399,0.561,1.131,0.17
