Item,a,b,c
C101,0.551,-0.716,0.17
C102,0.565,-0.692,0.17
C103,0.562,-0.696,0.17
C104,0.56,-0.683,0.17
C105,0.569,-0.658,0.17
C106,0.564,-0.65,0.17
C107,0.568,-0.657,0.17
C108,0.577,-0.655,0.17
C109,0.574,-0.645,0.17
C110,0.575,-0.641,0.17
C111,0.574,-0.631,0.17
C112,0.576,-0.636,0.17
C113,0.575,-0.628,0.17
C114,0.58,-0.624,0.17
C115,0.588,-0.609,0.17
C116,0.581,-0.604,0.17
C117,0.58,-0.593,0.17
C118,0.58,-0.591,0.17
C119,0.594,-0.587,0.17
C120,0.593,-0.589,0.17
C121,0.598,-0.564,0.17
C122,0.598,-0.56,0.17
C123,0.591,-0.564,0.17
C124,0.595,-0.544,0.17
C125,0.6,-0.543,0.17
C126,0.607,-0.538,0.17
C127,0.608,-0.535,0.17
C128,0.606,-0.523,0.17
C129,0.614,-0.522,0.17
C130,0.619,-0.513,0.17
C131,0.615,-0.498,0.17
C132,0.614,-0.494,0.17
C133,0.614,-0.481,0.17
C134,0.622,-0.484,0.17
C135,0.628,-0.479,0.17
C136,0.629,-0.475,0.17
C137,0.62,-0.466,0.17
C138,0.62,-0.452,0.17
C139,0.624,-0.447,0.17
C140,0.634,-0.443,0.17
C141,0.636,-0.439,0.17
C142,0.631,-0.423,0.17
C143,0.63,-0.418,0.17
C144,0.632,-0.412,0.17
C145,0.637,-0.415,0.17
C146,0.639,-0.406,0.17
C147,0.643,-0.397,0.17
C148,0.648,-0.383,0.17
C149,0.642,-0.385,0.17
C150,0.647,-0.389,0.17
C151,0.641,-0.378,0.17
C152,0.64,-0.367,0.17
C153,0.652,-0.358,0.17
C154,0.655,-0.357,0.17
C155,0.659,-0.347,0.17
C156,0.657,-0.347,0.17
C157,0.652,-0.341,0.17
C158,0.655,-0.341,0.17
C159,0.652,-0.323,0.17
C160,0.656,-0.329,0.17
C161,0.668,-0.329,0.17
C162,0.661,-0.328,0.17
C163,0.664,-0.304,0.17
C164,0.664,-0.295,0.17
C165,0.66,-0.291,0.17
C166,0.672,-0.286,0.17
C167,0.679,-0.288,0.17
C168,0.677,-0.281,0.17
C169,0.67,-0.281,0.17
C170,0.674,-0.288,0.17
C171,0.687,-0.27,0.17
C172,0.681,-0.278,0.17
C173,0.687,-0.262,0.17
C174,0.685,-0.253,0.17
C175,0.692,-0.249,0.17
C176,0.697,-0.247,0.17
C177,0.694,-0.236,0.17
C178,0.691,-0.234,0.17
C179,0.702,-0.238,0.17
C180,0.703,-0.211,0.17
C181,0.701,-0.213,0.17
C182,0.706,-0.199,0.17
C183,0.719,-0.187,0.17
C184,0.715,-0.171,0.17
C185,0.715,-0.172,0.17
C186,0.711,-0.171,0.17
C187,0.714,-0.16,0.17
C188,0.723,-0.169,0.17
C189,0.728,-0.165,0.17
C190,0.727,-0.132,0.17
C191,0.726,-0.13,0.17
C192,0.72,-0.118,0.17
C193,0.729,-0.107,0.17
C194,0.739,-0.107,0.17
C195,0.736,-0.1,0.17
C196,0.731,-0.103,0.17
C197,0.733,-0.091,0.17
C198,0.732,-0.081,0.17
C199,0.73,-0.071,0.17
C200,0.742,-0.066,0.17
